<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
9/11/2018,111230,111240,111180,111190
9/11/2018,111180,111250,111170,111220
9/11/2018,111210,111260,111200,111200
9/11/2018,111200,111260,111190,111240
9/11/2018,111250,111350,111250,111300
9/11/2018,111300,111390,111290,111380
9/11/2018,111390,111410,111310,111310
9/11/2018,111320,111420,111310,111390
9/11/2018,111400,111410,111210,111210
9/11/2018,111220,111320,111090,111250
9/11/2018,111250,111280,111190,111200
9/11/2018,111200,111240,111180,111210
9/11/2018,111190,111220,111160,111220
9/11/2018,111210,111210,111170,111170
9/11/2018,111160,111170,111100,111140
9/11/2018,111130,111180,111120,111170
9/11/2018,111160,111340,111130,111330
9/11/2018,111330,111350,111280,111300
9/11/2018,111300,111320,111250,111260
9/11/2018,111260,111350,111240,111320
9/11/2018,111310,111350,111270,111320
9/11/2018,111320,111390,111320,111350
9/11/2018,111340,111480,111340,111470
9/11/2018,111470,111480,111390,111400
9/11/2018,111390,111400,111350,111360
9/11/2018,111350,111360,111250,111260
9/11/2018,111250,111320,111240,111300
9/11/2018,111290,111330,111250,111270
9/11/2018,111270,111300,111240,111280
9/11/2018,111280,111290,111220,111250
9/11/2018,111250,111300,111250,111300
9/11/2018,111300,111310,111230,111270
9/11/2018,111280,111340,111250,111330
9/11/2018,111330,111360,111290,111310
9/11/2018,111320,111380,111300,111360
9/11/2018,111360,111380,111320,111370
9/11/2018,111380,111420,111350,111350
9/11/2018,111350,111410,111340,111360
9/11/2018,111360,111360,110920,110960
9/11/2018,110970,111130,110950,111120
9/11/2018,111130,111150,111090,111130
9/11/2018,111140,111230,111110,111200
9/11/2018,111200,111230,111190,111230
9/11/2018,111220,111250,111170,111220
9/11/2018,111200,111230,111170,111210
9/11/2018,111220,111340,111210,111320
9/11/2018,111320,111370,111280,111350
9/11/2018,111360,111440,111340,111400
9/11/2018,111400,111490,111400,111470
9/11/2018,111470,111550,111440,111480
9/11/2018,111480,111490,111430,111460
9/11/2018,111460,111570,111460,111550
9/11/2018,111560,111610,111540,111600
9/11/2018,111600,111640,111580,111640
9/11/2018,111630,111650,111590,111640
9/11/2018,111640,111690,111630,111640
9/11/2018,111660,111710,111580,111620
9/11/2018,111630,111680,111580,111580
9/11/2018,111580,111620,111560,111590
9/11/2018,111580,111610,111530,111530
9/11/2018,111550,111550,111460,111530
9/11/2018,111510,111510,111510,111510
9/11/2018,111420,111700,111400,111620
9/11/2018,111620,111640,111530,111540
9/11/2018,111550,111590,111530,111560
9/11/2018,111550,111600,111530,111560
9/11/2018,111560,111570,111500,111530
9/11/2018,111530,111530,111450,111500
9/11/2018,111490,111550,111480,111500
9/11/2018,111510,111580,111510,111570
9/11/2018,111560,111570,111480,111490
9/11/2018,111480,111510,111400,111420
9/11/2018,111420,111450,111350,111430
9/11/2018,111420,111430,111390,111420
9/11/2018,111420,111470,111390,111420
9/11/2018,111420,111430,111380,111410
9/11/2018,111400,111490,111390,111450
9/11/2018,111450,111580,111440,111540
9/11/2018,111540,111540,111450,111470
9/11/2018,111500,111510,111450,111480
9/11/2018,111480,111480,111400,111410
9/11/2018,111410,111450,111400,111450
9/11/2018,111460,111500,111440,111480
9/11/2018,111480,111560,111480,111530
9/11/2018,111520,111550,111500,111520
9/11/2018,111520,111530,111410,111410
9/11/2018,111400,111420,111330,111410
9/11/2018,111400,111420,111330,111420
9/11/2018,111410,111460,111370,111430
9/11/2018,111430,111470,111410,111420
9/11/2018,111420,111470,111410,111470
9/11/2018,111480,111520,111460,111500
9/11/2018,111500,111660,111490,111610
9/11/2018,111620,111680,111620,111670
9/11/2018,111670,111770,111660,111720
9/11/2018,111720,111720,111610,111620
9/11/2018,111620,111630,111570,111580
9/11/2018,111570,111610,111520,111600
9/11/2018,111600,111680,111580,111640
9/11/2018,111640,111640,111490,111500
9/11/2018,111500,111580,111490,111510
9/11/2018,111520,111610,111490,111580
9/11/2018,111580,111580,111530,111540
9/11/2018,111550,111590,111480,111500
9/11/2018,111500,111530,111480,111500
9/11/2018,111500,111540,111460,111470
9/11/2018,111470,111500,111420,111490
9/11/2018,111480,111520,111450,111480
9/11/2018,111460,111460,111390,111400
9/11/2018,111410,111420,111340,111350
9/11/2018,111340,111360,111280,111290
9/11/2018,111270,111380,111250,111350
9/11/2018,111350,111450,111340,111440
9/11/2018,111430,111470,111370,111370
9/11/2018,111380,111450,111380,111440
9/11/2018,111440,111470,111440,111460
9/11/2018,111450,111460,111400,111430
9/11/2018,111420,111460,111390,111400
9/11/2018,111390,111470,111390,111390
9/11/2018,111380,111420,111360,111380
9/11/2018,111390,111410,111360,111390
9/11/2018,111380,111390,111310,111350
9/11/2018,111340,111410,111340,111360
9/11/2018,111370,111400,111370,111370
9/11/2018,111390,111430,111370,111420
9/11/2018,111420,111470,111390,111450
9/11/2018,111440,111500,111440,111440
9/11/2018,111430,111480,111400,111450
9/11/2018,111440,111470,111440,111450
9/11/2018,111450,111470,111390,111410
9/11/2018,111410,111430,111400,111430
9/11/2018,111420,111480,111410,111470
9/11/2018,111470,111540,111450,111480
9/11/2018,111490,111490,111460,111470
9/11/2018,111460,111500,111450,111500
9/11/2018,111510,111510,111420,111440
9/11/2018,111430,111490,111430,111490
9/11/2018,111480,111480,111440,111470
9/11/2018,111470,111470,111400,111410
9/11/2018,111420,111440,111400,111410
9/11/2018,111420,111470,111420,111440
9/11/2018,111430,111460,111430,111450
9/11/2018,111440,111520,111400,111420
9/11/2018,111430,111430,111350,111360
9/11/2018,111350,111350,111280,111310
9/11/2018,111330,111370,111310,111340
9/11/2018,111350,111380,111340,111370
9/11/2018,111370,111400,111340,111360
9/11/2018,111360,111360,111310,111320
9/11/2018,111340,111400,111340,111380
9/11/2018,111370,111380,111340,111350
9/11/2018,111350,111360,111320,111320
9/11/2018,111340,111370,111310,111370
9/11/2018,111370,111510,111370,111450
9/11/2018,111450,111470,111430,111430
9/11/2018,111440,111440,111390,111410
9/11/2018,111410,111440,111400,111420
9/11/2018,111410,111410,111330,111360
9/11/2018,111350,111360,111330,111350
9/11/2018,111350,111390,111320,111370
9/11/2018,111370,111380,111340,111380
9/11/2018,111390,111400,111370,111370
9/11/2018,111370,111430,111370,111430
9/11/2018,111420,111460,111410,111420
9/11/2018,111410,111420,111360,111380
9/11/2018,111390,111430,111390,111420
9/11/2018,111420,111440,111420,111420
9/11/2018,111420,111500,111420,111480
9/11/2018,111480,111490,111440,111490
9/11/2018,111490,111490,111450,111460
9/11/2018,111460,111480,111430,111470
9/11/2018,111480,111510,111470,111510
9/11/2018,111510,111520,111470,111490
9/11/2018,111490,111500,111470,111470
9/11/2018,111490,111490,111480,111480
9/11/2018,111470,111500,111470,111500
9/11/2018,111490,111500,111470,111500
9/11/2018,111490,111490,111470,111470
9/11/2018,111460,111470,111440,111460
9/11/2018,111470,111480,111430,111430
9/11/2018,111450,111450,111380,111380
9/11/2018,111380,111420,111370,111420
9/11/2018,111410,111420,111360,111400
9/11/2018,111400,111430,111380,111400
9/11/2018,111410,111470,111400,111430
9/11/2018,111430,111440,111400,111410
9/11/2018,111400,111410,111380,111410
9/11/2018,111390,111410,111370,111400
9/11/2018,111400,111420,111380,111400
9/11/2018,111410,111440,111400,111410
9/11/2018,111410,111430,111410,111430
9/11/2018,111430,111460,111420,111420
9/11/2018,111440,111440,111420,111430
9/11/2018,111430,111430,111430,111430
9/11/2018,111440,111440,111420,111430
9/11/2018,111430,111430,111430,111430
9/11/2018,111440,111440,111390,111400
9/11/2018,111410,111420,111400,111410
9/11/2018,111420,111430,111400,111420
9/11/2018,111400,111440,111390,111420
9/11/2018,111410,111410,111400,111400
9/11/2018,111400,111410,111370,111370
9/11/2018,111370,111390,111320,111360
9/11/2018,111360,111370,111340,111360
9/11/2018,111370,111380,111360,111360
